variant,dist,n,microseconds_per_op,bytes_allocated_per_op
longSet,RANDOM,24,1.000923131310724,8264.023254999627
longSet,RANDOM,32,1.7041088160440756,14224.039637519738
longSet,RANDOM,40,3.0441679045832406,21488.070805329025
longSet,RANDOM,48,4.326999401942029,30264.100825521855
longSet,RANDOM,56,5.319419124753714,41112.12381538511
longSet,RANDOM,64,7.548981664563192,52984.176008362294
longSet,RANDOM,128,32.8031971366766,204232.76466487418
longSet,RANDOM,256,328.1089577726525,802199.6724246948
longSet,RANDOM,512,1992.1468739623383,3185654.1156303566
longSet,RANDOM,1024,11856.318489332427,14062053.94936545
longSet,RANDOM,2048,87329.64499999999,98694978.75
longSet,RANDOM,4096,325627.10487499996,663450720.0
longSet,RANDOM,8192,1629751.7472500002,2807839140.0
longSet,RANDOM,16384,8613898.249875,12096044816.0
longSet,GRID,24,2.295394496689175,10136.053388518114
longSet,GRID,32,4.263272855678708,17608.099347010288
longSet,GRID,40,7.438622875126613,27128.173446661418
longSet,GRID,48,12.50612652888429,39480.292254761254
longSet,GRID,56,17.964795384863635,53544.419006476295
longSet,GRID,64,25.006912211256953,70144.58438929192
longSet,GRID,128,169.23342679784443,461579.9590512099
longSet,GRID,256,957.5324266755421,3197750.280529762
longSet,GRID,512,4294.615943133803,13616387.1305835
longSet,GRID,1024,16054.586644736843,51489503.78947368
longSet,GRID,2048,75501.18475625,221321919.45
longSet,GRID,4096,297496.46549999993,828076013.5
longSet,GRID,8192,1432250.512875,3577192836.0
longSet,GRID,16384,6154511.43075,13293229616.0
pointSet,RANDOM,24,1.1319055436934602,8288.02629853019
pointSet,RANDOM,32,1.9418032120894777,14272.045169102023
pointSet,RANDOM,40,2.948989429864149,21536.068733139145
pointSet,RANDOM,48,4.281902407372662,30336.099974177014
pointSet,RANDOM,56,5.844507944661412,41184.136273587355
pointSet,RANDOM,64,7.593206585947732,53056.1773298101
pointSet,RANDOM,128,40.30798119211629,204544.94014289568
pointSet,RANDOM,256,168.82111773497328,803563.9499956224
pointSet,RANDOM,512,739.4402672644649,36945.0349305267
pointSet,RANDOM,1024,3872.4436650641023,73880.98717948717
pointSet,RANDOM,2048,14789.470160714285,147850.14285714287
pointSet,RANDOM,4096,89342.65556249999,296704.0
pointSet,RANDOM,8192,502455.615,677275.0
pointSet,RANDOM,16384,2966032.48625,1190334.0
pointSet,GRID,24,1.468047796926972,1664.0340497500297
pointSet,GRID,32,2.496396527039017,2368.057901546091
pointSet,GRID,40,3.9224298555909,2816.09084300748
pointSet,GRID,48,5.770230947985211,3264.1338349071125
pointSet,GRID,56,7.310387412885789,4224.169825478882
pointSet,GRID,64,9.478260985529314,4672.219950664251
pointSet,GRID,128,35.76180179670093,9280.828258969248
pointSet,GRID,256,225.2220655727073,1127493.2671723429
pointSet,GRID,512,943.9588401777677,4473541.95465863
pointSet,GRID,1024,2968.443637900327,73860.51963755199
pointSet,GRID,2048,13289.442711956523,147821.43478260867
pointSet,GRID,4096,58576.464375,296128.6666666666
pointSet,GRID,8192,267196.544375,639521.5
pointSet,GRID,16384,1302112.7658749998,1186656.0
primitiveLongSet,RANDOM,24,0.9430943577977207,1184.0218455557567
primitiveLongSet,RANDOM,32,1.6179023420894287,1184.0374473214056
primitiveLongSet,RANDOM,40,2.596645248676343,1184.0601017939803
primitiveLongSet,RANDOM,48,3.2789688091370617,2336.0759768544094
primitiveLongSet,RANDOM,56,4.5563470520197855,2336.1053362636435
primitiveLongSet,RANDOM,64,6.320906075720936,2336.1466863571995
primitiveLongSet,RANDOM,128,23.765619742232793,4640.550820057102
primitiveLongSet,RANDOM,256,93.2264119877856,9250.154500130644
primitiveLongSet,RANDOM,512,783.8044979421593,18482.117490979006
primitiveLongSet,RANDOM,1024,3206.231569148936,36969.65957446809
primitiveLongSet,RANDOM,2048,14288.580318722943,74080.16450216451
primitiveLongSet,RANDOM,4096,62922.745775,148875.2
primitiveLongSet,RANDOM,8192,301700.7218125,299721.5
primitiveLongSet,RANDOM,16384,1559166.1305,596785.0
primitiveLongSet,GRID,24,1.135356252236228,1184.026283942321
primitiveLongSet,GRID,32,2.0942767459177007,1184.0484148775222
primitiveLongSet,GRID,40,3.4444133934671024,1184.0797463873628
primitiveLongSet,GRID,48,4.487222010858919,2336.103983775896
primitiveLongSet,GRID,56,5.991996342930165,2336.139132628419
primitiveLongSet,GRID,64,7.852278352270353,2336.1820304250846
primitiveLongSet,GRID,128,30.064981733208047,4640.694869085808
primitiveLongSet,GRID,256,117.22685521748065,9250.722666164771
primitiveLongSet,GRID,512,799.9177830424251,18482.468496100784
primitiveLongSet,GRID,1024,3283.825255434783,36971.30434782608
primitiveLongSet,GRID,2048,12187.283285000001,74037.59999999999
primitiveLongSet,GRID,4096,51983.295291666676,148642.6666666667
primitiveLongSet,GRID,8192,215673.585375,298407.5
primitiveLongSet,GRID,16384,901091.679375,596785.0
